train_loss,val_loss,train_acc,val_acc,train_pre,val_pre,train_rec,val_rec
0.3459077627850342,0.3256447789245758,0.8986940439344757,0.9180253623188406,0.9019282604188265,0.9978323699421965,0.8334930063230503,0.7936781609195402
0.23904214111320782,0.2632221225919067,0.9362119725220804,0.9406702898550725,0.9739921976592978,0.9966397849462365,0.8610844989461582,0.8522988505747127
0.21688984455279947,0.23288132317796134,0.9432324299841474,0.9451992753623188,0.9775497113534317,0.9901832460732984,0.876029890783675,0.8695402298850575
0.2042936259828496,0.2317479518984539,0.9463274703706499,0.9467844202898551,0.981007255655143,0.9908675799086758,0.8808200804751868,0.8729885057471264
0.1940613834238992,0.2304900342301614,0.9467804031101381,0.9458786231884058,0.9761603375527426,0.9851325145442793,0.886568308105001,0.8758620689655172
0.1898558762186319,0.23800534614618274,0.9486676228580055,0.9470108695652174,0.9795055989858441,0.9934469200524246,0.8882927763939452,0.871264367816092
0.18051617263379777,0.23013274289289679,0.9511587529251906,0.9479166666666666,0.983502538071066,0.9902597402597403,0.8909752826211917,0.8764367816091954
0.1791539979035462,0.24554176932281774,0.9518381520344229,0.9483695652173914,0.9843518714315923,0.9947643979057592,0.8919333205594941,0.8735632183908046
0.17607114981541303,0.22864527231001336,0.9527440175133992,0.948822463768116,0.9874761197198048,0.9877577319587629,0.8913584977965128,0.8810344827586207
0.1705040908317006,0.24869278710389484,0.9528949950932286,0.9485960144927537,0.9850116107240869,0.9941214892227302,0.8940410040237593,0.8747126436781609
0.17647409491955834,0.22602873276649177,0.9522910847739111,0.9470108695652174,0.9853968253968254,0.9808429118773946,0.8921249281471546,0.8827586206896552
0.17028420865187027,0.2303889083635548,0.9541783045217785,0.9497282608695652,0.9873203719357565,0.9890463917525774,0.8951906495497222,0.882183908045977
0.1720636510831901,0.22521317303450644,0.9542537933116932,0.9476902173913043,0.9885617453929252,0.9814932992980216,0.8942326116114198,0.8839080459770114
0.16948864766372468,0.22625467569931693,0.9537253717822903,0.9497282608695652,0.9895833333333334,0.991580310880829,0.8919333205594941,0.8798850574712643
0.16801883372854104,0.22510204156455788,0.9547067260511815,0.9490489130434783,0.9904438309619877,0.9858883899935856,0.8936577888484384,0.8833333333333333
0.16653147471374483,0.2220430589834417,0.9547067260511815,0.9506340579710145,0.9889900486978616,0.9909677419354839,0.8949990419620617,0.8827586206896552
0.16413176971880492,0.2437633170840749,0.9549331924209254,0.9427083333333334,0.9869363674673409,0.9638178415470992,0.8974899406016478,0.8879310344827587
0.1685443145935919,0.2383914012596875,0.9528949950932286,0.9490489130434783,0.9846024045560009,0.9815638906547998,0.8944242191990803,0.8873563218390804
0.16255521540993825,0.227275173139313,0.9558390578999019,0.9501811594202898,0.9865602687946241,0.9871794871794872,0.9001724468288944,0.8850574712643678
0.1602322047282014,0.23628879522067914,0.9553861251604137,0.9501811594202898,0.9908782350445482,0.989060489060489,0.8949990419620617,0.8833333333333333
0.1626271000311241,0.23808117119082506,0.9557635691099872,0.9492753623188406,0.9910960356158576,0.9846547314578005,0.8957654723127035,0.8850574712643678
0.16728785176443461,0.22721146886655386,0.9544802596814373,0.9495018115942029,0.9879492600422833,0.9871547848426461,0.8953822571373826,0.8833333333333333
0.15916182008533467,0.24659161075301791,0.956820412168793,0.9506340579710145,0.9927889713679745,0.9909677419354839,0.8969151178386664,0.8827586206896552
0.1618033591946125,0.2262180559202165,0.9559900354797313,0.9515398550724637,0.9919354838709677,0.9922580645161291,0.8955738647250431,0.8839080459770114
0.16056922335418664,0.23099934362360966,0.9565184570091342,0.9499547101449275,0.9923647932131495,0.9903163331181407,0.8965319026633455,0.8816091954022989
0.16168612718240194,0.22268166610350212,0.9563674794293048,0.9506340579710145,0.9906957073377035,0.9909677419354839,0.8976815481893083,0.8827586206896552
0.15825694345650407,0.23147203438523886,0.9561410130595607,0.9501811594202898,0.9927751806204845,0.989060489060489,0.8951906495497222,0.8833333333333333
0.15978285086078897,0.231054802276734,0.9565939457990489,0.948822463768116,0.9913245873889124,0.9833971902937421,0.8976815481893083,0.8850574712643678
0.1555415914041947,0.23521563162406287,0.9571978561183664,0.948822463768116,0.9923793395427604,0.9815521628498728,0.8982563709522897,0.8867816091954023
0.15980030069254367,0.2329974058151677,0.9556125915301578,0.9490489130434783,0.9900529100529101,0.9834077855775367,0.896340295075685,0.885632183908046
0.15852351018961686,0.22554339179634184,0.9555371027402431,0.9499547101449275,0.9873684210526316,0.9853035143769968,0.8986395861276106,0.8862068965517241
0.15185730481333146,0.22948482252009536,0.9583301879670869,0.9499547101449275,0.9942808726964626,0.9865470852017937,0.8994060164782526,0.8850574712643678
0.16069940430196336,0.2233200352234037,0.9556880803200725,0.9499547101449275,0.9888138455044323,0.9871712636305324,0.8976815481893083,0.8844827586206897
0.15642389721593075,0.23978446858624616,0.957046878538537,0.9495018115942029,0.990713381173491,0.984664536741214,0.8994060164782526,0.885632183908046
0.15267621489293604,0.22965187957321387,0.9581792103872575,0.9497282608695652,0.993233241700148,0.9846743295019157,0.899980839241234,0.8862068965517241
0.15182701017331598,0.25376861331228545,0.957801766437684,0.9515398550724637,0.9938533276812208,0.990990990990991,0.8984479785399502,0.8850574712643678
0.1543305638212703,0.23224055648281955,0.956820412168793,0.951766304347826,0.9925800296798812,0.9948152948801037,0.8971067254263269,0.882183908045977
