,0
deep_feat_22,0.08938999337449892
deep_feat_31,0.07290701114876483
deep_feat_55,0.07205525606972718
deep_feat_57,0.05763101189053345
deep_feat_19,0.056718293397092924
deep_feat_18,0.047048594022363034
deep_feat_34,0.046408626543610734
deep_feat_6,0.04417270506402215
deep_feat_7,0.04257358090620418
deep_feat_14,0.036957726132904066
deep_feat_2,0.03603910198163968
deep_feat_32,0.0350292943504679
deep_feat_33,0.03265387276759917
deep_feat_17,0.030086548768548965
deep_feat_20,0.025613251812557896
deep_feat_58,0.02364414408861135
deep_feat_13,0.022388143571566717
deep_feat_63,0.017793155405793407
deep_feat_11,0.016390819622735923
deep_feat_3,0.016148736206416155
deep_feat_10,0.014783387160450542
deep_feat_1,0.014358744468139716
deep_feat_60,0.013435448393516534
deep_feat_5,0.012527434557435466
deep_feat_52,0.010026379275650225
deep_feat_41,0.009175582434269964
deep_feat_64,0.008619021142305661
deep_feat_12,0.007907012339966376
deep_feat_54,0.007114952766007172
deep_feat_44,0.005034809681409487
deep_feat_40,0.004315538234780136
deep_feat_38,0.0037465472182592703
Age,0.0033443808665407026
deep_feat_46,0.0033203356794118282
RepNumber,0.0030723551028692376
DriverRating,0.0022528374230378315
deep_feat_24,0.0021054683423550585
deep_feat_47,0.0020772662971254656
WeekOfMonth,0.0019393566498275637
WeekOfMonthClaimed,0.0018150723160580843
Year,0.0017442501974251228
BasePolicy_All Perils,0.0013410041135954393
VehicleCategory_Sport,0.0011616083795562126
PastNumberOfClaims_none,0.0011081880889026005
VehicleCategory_Sedan,0.0008344025875103901
NumberOfSuppliments_none,0.0008143674046795696
Fault_Third Party,0.0007903625375486527
"VehiclePrice_20,000 to 29,000",0.0007794525153276239
NumberOfSuppliments_more than 5,0.0007160406429533405
BasePolicy_Collision,0.0007159505886852571
PastNumberOfClaims_2 to 4,0.0006893923732578547
Sex_Male,0.0006643839120637573
PastNumberOfClaims_1,0.0006548277524925908
DayOfWeekClaimed_Tuesday,0.0006411166876326805
Make_Toyota,0.0006380051221080748
MaritalStatus_Married,0.0006323974875037335
AgeOfVehicle_7 years,0.0006310529797217894
DayOfWeek_Tuesday,0.0006305187065511336
DayOfWeekClaimed_Monday,0.0006218607139091781
AgeOfPolicyHolder_36 to 40,0.0006209440087280931
"VehiclePrice_30,000 to 39,000",0.0006140459622673968
AgeOfPolicyHolder_31 to 35,0.000609421045905241
Make_Pontiac,0.0005979425120459546
AgeOfVehicle_6 years,0.0005944329460831583
DayOfWeekClaimed_Wednesday,0.0005941336682338625
DayOfWeekClaimed_Thursday,0.0005917857447144292
DayOfWeek_Saturday,0.0005802108929628349
DayOfWeek_Thursday,0.0005782886814916459
DayOfWeekClaimed_Friday,0.0005721654632508705
"VehiclePrice_more than 69,000",0.0005717850084406155
AccidentArea_Urban,0.0005684506568557562
DayOfWeek_Friday,0.0005660439797427015
MonthClaimed_Mar,0.0005521210597312426
NumberOfSuppliments_1 to 2,0.0005507545673897051
Make_Honda,0.0005306341007168332
MaritalStatus_Single,0.0005294041383758227
Sex_Female,0.0005258812956354028
DayOfWeek_Wednesday,0.0005207767745100785
Fault_Policy Holder,0.0005151181476709326
DayOfWeek_Sunday,0.0005105431402443979
DayOfWeek_Monday,0.00050771312773508
AgeOfVehicle_more than 7,0.0005032996182802664
Month_Jan,0.0005006741422794152
Month_Mar,0.0004997780652542822
Make_Chevrolet,0.0004970064110204316
AgeOfPolicyHolder_41 to 50,0.00047214311415343026
AccidentArea_Rural,0.0004669280366532482
NumberOfSuppliments_3 to 5,0.0004618049476705855
Month_May,0.0004560853746029969
MonthClaimed_Jun,0.0004524557172901654
Make_Mazda,0.0004489944551898566
"VehiclePrice_less than 20,000",0.00044573602851836477
Deductible,0.00042549195954046034
MonthClaimed_May,0.0004228955517981302
PastNumberOfClaims_more than 4,0.00042151099295469773
MonthClaimed_Oct,0.00041272292851252736
MonthClaimed_Jan,0.0004045095518858461
MonthClaimed_Apr,0.00040154150840891403
Month_Feb,0.0003933563724511146
AddressChange-Claim_no change,0.0003897832928487821
MonthClaimed_Feb,0.00038403979949520797
Month_Apr,0.00036895860514328863
Month_Aug,0.00036818085823588906
AgeOfPolicyHolder_51 to 65,0.00036128560065722414
AddressChange-Claim_2 to 3 years,0.00035850842378305157
Month_Oct,0.00035495417150333697
AgeOfVehicle_5 years,0.0003474149883036179
Month_Jul,0.0003464223756377004
Month_Jun,0.00034493339136380737
Month_Nov,0.00033727056175968264
MonthClaimed_Jul,0.00033040950696184386
MonthClaimed_Sep,0.00032445879861513265
Make_Accura,0.00031860735142522913
BasePolicy_Liability,0.0003112050221595384
Month_Sep,0.00030826895248948783
NumberOfCars_1 vehicle,0.00030221314765291953
MonthClaimed_Aug,0.0002989153866377303
Month_Dec,0.0002919870190967046
MonthClaimed_Dec,0.00028958373176567664
Make_Ford,0.00028874369792545305
AgeOfPolicyHolder_over 65,0.00027491867815289807
MonthClaimed_Nov,0.00025142356226084413
"VehiclePrice_40,000 to 59,000",0.00024230399634686704
NumberOfCars_2 vehicles,0.00023159239768920798
AgeOfPolicyHolder_26 to 30,0.00020627703055122777
VehicleCategory_Utility,0.0001938428773360791
AddressChange-Claim_4 to 8 years,0.00017327098634592768
Make_Saab,0.00016602798507405224
AgeOfVehicle_new,0.00016531474737274798
PoliceReportFiled,0.00016458999769857066
AgeOfVehicle_4 years,0.0001637171567309466
Days:Policy-Accident_more than 30,0.00014083537574140825
NumberOfCars_3 to 4,0.00013546500737089201
AgeOfPolicyHolder_16 to 17,0.0001319262238085482
AddressChange-Claim_1 year,0.00012980592467636912
Make_Saturn,0.0001270042735921026
Make_Mercury,0.00011450456776435456
Days:Policy-Claim_more than 30,9.771546194856073e-05
Days:Policy-Accident_8 to 15,7.760899321796994e-05
DayOfWeekClaimed_Sunday,7.668614820888865e-05
Days:Policy-Claim_15 to 30,7.56001241259999e-05
"VehiclePrice_60,000 to 69,000",7.429238827991732e-05
Days:Policy-Accident_none,6.191207174650626e-05
AgeOfPolicyHolder_21 to 25,6.077663776907968e-05
WitnessPresent,5.729329958809902e-05
AddressChange-Claim_under 6 months,4.724887057346983e-05
Days:Policy-Claim_8 to 15,4.715528529003989e-05
AgeOfVehicle_3 years,4.141635982827083e-05
DayOfWeekClaimed_Saturday,3.687589632116078e-05
MaritalStatus_Divorced,3.6780344706963274e-05
AgentType_External,3.137635542916595e-05
NumberOfCars_5 to 8,2.7063985486048626e-05
AgentType_Internal,2.6290667688161376e-05
deep_feat_23,2.3969050949791173e-05
Make_Nisson,2.3442638646833768e-05
